concept_name,concept_type,primary_paradigm,paper_count
fine-grained diagnostic annotations,dataset,Benchmark/Evaluation,1
fine-grained access control,application,Alignment/Safety,1
final action,task,Alignment/Safety,1
filled pause,task,Theory/Methodology,1
field-resolution tradeoff,theory,Theory/Methodology,1
fidelity,metric,Theory/Methodology,1
few-step distillation,method,Efficiency/Optimization,1
few-shot learning,other,Multimodal,1
few-shot knowledge distillation,task,Efficiency/Optimization,1
feeling-of-knowing (fok,task,Reasoning,1
failure mode,risk,Theory/Methodology,1
federated learning,application,Benchmark/Evaluation,1
feddualatt,method,Alignment/Safety,1
fedavg,method,Alignment/Safety,1
feature space,other,Reasoning,1
fast radio burst,task,Benchmark/Evaluation,1
false positive rate,risk,Application,1
faithfulness,metric,RAG/Retrieval,1
failure-driven,theory,Agent/Tool Use,1
failure pattern mining,method,Agent/Tool Use,1
failure modes,task,Reasoning,1
failure mode classification,method,Benchmark/Evaluation,1
feedback-based refinement,method,Agent/Tool Use,1
energy-based model (ebm,model,Reasoning,1
energy waste,risk,Efficiency/Optimization,1
endpoint representation,model,Reasoning,1
endogenous loss function,theory,Theory/Methodology,1
end-to-end workflows,application,Agent/Tool Use,1
end-to-end training,method,Efficiency/Optimization,1
encoder-decoder,model,Benchmark/Evaluation,1
empirically derived cultural taxonomy,theory,Benchmark/Evaluation,1
empirical risk minimization,method,Theory/Methodology,1
empirical annotator distribution,task,Multimodal,1
executable verification,method,Benchmark/Evaluation,1
emotion distribution,task,Multimodal,1
emergent misalignment,task,Alignment/Safety,1
embodied experience,application,Theory/Methodology,1
embedding techniques,method,Theory/Methodology,1
embedding models,model,RAG/Retrieval,1
embedding model,metric,Theory/Methodology,1
embedding,model,Benchmark/Evaluation,1
elemental and compound phases,task,Reasoning,1
electronic-nose signals,metric,Multimodal,1
electronic medical records,application,Theory/Methodology,1
electronic healthcare records (ehr,application,Reasoning,1
emotional naturalness,metric,Benchmark/Evaluation,1
executable reasoning-action trajectory,task,Agent/Tool Use,1
executable patch validation,task,Alignment/Safety,1
evidence-grounded pipeline,method,Benchmark/Evaluation,1
event-based timestamps,method,Theory/Methodology,1
evaluative pipeline,method,Multimodal,1
evaluation methodologies,other,Agent/Tool Use,1
evaluation framework,theory,Benchmark/Evaluation,1
evaluation framework,other,Benchmark/Evaluation,1
evaluation budgets,metric,Reasoning,1
error-state extended kalman filter,model,Reasoning,1
error rate,metric,Alignment/Safety,1
entailment,task,Theory/Methodology,1
error amplification,metric,Efficiency/Optimization,1
error accumulation,metric,Efficiency/Optimization,1
ergodic theory,theory,Theory/Methodology,1
equitable performance,metric,Theory/Methodology,1
epistemic entropy,metric,Alignment/Safety,1
episodic memory,model,Theory/Methodology,1
episode failure,risk,Alignment/Safety,1
epidemic modeling,task,Agent/Tool Use,1
entropy pacing,method,Alignment/Safety,1
entity familiarity,task,Reasoning,1
entity extraction,method,Benchmark/Evaluation,1
error detection,task,Agent/Tool Use,1
gradient-based alignment,method,Alignment/Safety,1
gradient warfare,risk,Efficiency/Optimization,1
gradient variance,metric,Theory/Methodology,1
gradient projection,method,Efficiency/Optimization,1
gpu--dram--ssd hierarchy,model,Efficiency/Optimization,1
gpt-5 series,model,Benchmark/Evaluation,1
global heads,model,Alignment/Safety,1
global dependency modeling,task,Reasoning,1
global convergence,theory,Theory/Methodology,1
ghost errors,risk,Alignment/Safety,1
fine-tuning,method,Benchmark/Evaluation,1
geometry-aware transformation,method,Efficiency/Optimization,1
geometry-aware spatiotemporal graph,model,Reasoning,1
geometric grounding,task,Agent/Tool Use,1
geometric deep learning,method,Theory/Methodology,1
geometric causal models,model,Theory/Methodology,1
genetic improvement,application,Theory/Methodology,1
genetic and reinforcement-learning evolution,method,Multimodal,1
genetic algorithm,model,Efficiency/Optimization,1
generative pipeline,method,Multimodal,1
generative image model,model,Reasoning,1
generative ai,model,Benchmark/Evaluation,1
geometry-inductive mixture-of-experts,model,Reasoning,1
hand-eye matrix,model,Agent/Tool Use,1
hallucination penalties,risk,Agent/Tool Use,1
hallucination inference and verification engine (hive,tool,Reasoning,1
hallucination,risk,Theory/Methodology,1
hallucination,risk,Multimodal,1
hallucinated chain-of-thought,risk,Alignment/Safety,1
grpcompviarep (gcr,theory,Reasoning,1
group theory,theory,Theory/Methodology,1
ground-truth matrices,metric,Alignment/Safety,1
ground truth injection module,tool,RAG/Retrieval,1
grokking,theory,Theory/Methodology,1
gradient-boosted tree classifier,tool,Reasoning,1
gridded observation,dataset,Reasoning,1
grid-based dominance scoring,method,Application,1
grb-sympnet,model,Reasoning,1
graphical user interface,tool,Benchmark/Evaluation,1
graph-theoretic representation,theory,Theory/Methodology,1
graph theory,theory,Reasoning,1
graph reasoning,other,Reasoning,1
graph property functionals,tool,Theory/Methodology,1
graph propagation module,model,Reasoning,1
graph convolutional attention,method,Theory/Methodology,1
graph attention network (gat,model,Reasoning,1
groking,task,Theory/Methodology,1
framing susceptibility,theory,Reasoning,1
fractal architecture,model,Multimodal,1
fr chet mean,method,Theory/Methodology,1
fp8,metric,Efficiency/Optimization,1
fourier transform,tool,Reasoning,1
fourier mechanisms,method,Reasoning,1
foundation models,model,Theory/Methodology,1
foundation models,model,Reasoning,1
forward pass,metric,Reasoning,1
formatting attacks,risk,Theory/Methodology,1
generative adversarial network,model,Multimodal,1
formal language prover,model,Agent/Tool Use,1
forged amplifying rationale memory attack,other,Alignment/Safety,1
forensic reconstruction,task,Alignment/Safety,1
fluency,metric,Efficiency/Optimization,1
flow sparsity regularization,other,Reasoning,1
fixed-point arithmetic,application,Efficiency/Optimization,1
fisher-rao distance,metric,Reasoning,1
finite-horizon,task,Agent/Tool Use,1
finite automaton,theory,Efficiency/Optimization,1
fine-tuning,task,Efficiency/Optimization,1
fine-tuning,method,Multimodal,1
formal verification,theory,Reasoning,1
generation,task,Alignment/Safety,1
generalized-ridge sympnet,model,Reasoning,1
generalized estimating equations,method,Theory/Methodology,1
generalization,theory,Theory/Methodology,1
gaussian process,model,Theory/Methodology,1
gated mlp,model,Multimodal,1
gated linear rnn,model,Efficiency/Optimization,1
gated accumulation,method,Efficiency/Optimization,1
gamma band,metric,Reasoning,1
game-playing agent,application,Agent/Tool Use,1
fuzzy cognitive map,task,Theory/Methodology,1
frequency-domain mixing,theory,Efficiency/Optimization,1
fusion tokens,model,Reasoning,1
functional correctness,metric,Benchmark/Evaluation,1
functional connectivity,task,Multimodal,1
function class,task,Theory/Methodology,1
fully homomorphic encryption,theory,Efficiency/Optimization,1
fully convolutional network,model,Efficiency/Optimization,1
full-duplex spoken dialogue model,model,Dataset/Benchmark,1
full-duplex slms,application,Reasoning,1
fuel density prediction,task,Reasoning,1
frozen backbone,model,Alignment/Safety,1
frequency-matching principle,theory,Theory/Methodology,1
future confidence distillation,method,Reasoning,1
